opis_id,name,address,city,state,rack_id,retail_price,observation_count,price_min,price_max,latitude,longitude,geocode_precision,geocode_status
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,1,3.00733333,3.00733333,36.53760200,-95.22936800,city,ok
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,1,3.28733333,3.28733333,43.98792700,-90.50143700,city,ok
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.89900000,2,3.89900000,3.89900000,32.96624200,-112.71546500,city,ok
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.39900000,1,3.39900000,3.39900000,35.34927600,-94.37088300,city,ok
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.07900000,1,3.07900000,3.07900000,40.92586800,-75.09406200,city,ok
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.89900000,1,2.89900000,2.89900000,38.73887800,-78.65091800,city,ok
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.91900000,1,2.91900000,2.91900000,30.81026400,-97.61512200,city,ok
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.15400000,1,3.15400000,3.15400000,32.41150100,-85.97280800,city,ok
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.95900000,1,3.95900000,3.95900000,38.88269374,-85.81878004,rooftop,ok
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,1,3.72566666,3.72566666,41.23658500,-95.85280500,city,ok
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,1,3.51566666,3.51566666,,,,failed
75,Good 2 Go #709,US-50,Montrose,CO,810,3.42400000,1,3.42400000,3.42400000,38.46878300,-107.85895900,city,ok
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.22900000,1,3.22900000,3.22900000,38.57145700,-75.57113400,city,ok
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.24900000,1,3.24900000,3.24900000,39.67001700,-75.56651900,city,ok
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.43900000,1,3.43900000,3.43900000,27.52658000,-82.52668300,city,ok
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.45900000,1,3.45900000,3.45900000,,,,failed
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.49900000,1,3.49900000,3.49900000,33.55464100,-82.89669500,city,ok
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.29900000,6,3.26900000,3.42900000,43.37081500,-83.88196400,city,ok
